Животновод	Абсолютно здоров	Хитрый	Вязание	Ограбил банк	Попугай	Аблютофобия – боязнь умывания, купания и т.д.	Поменяться картой «Фобия» с любым игроком
Врач	Абсолютно здоров	Добрый	Химия	Умеет делать луки и копья	Инкубатор	Агорафобия – боязнь пространства, открытых мест и т.д.	Поменяться картой «Состояние здоровья» с любым игроком
Хирург	Абсолютно здоров	Жадный	Коллекционирование	Любит животных	Нож	Аквафобия – боязнь воды, утопления	Поменяться картой «Состояние здоровье» с игроком справа
Писатель	Абсолютно здоров	Злой	Уборка	Учился в медецинском университете 4 года	Ружьё	Апейрофобия – боязнь бесконечности	Поменяться картой «Фобия» с игроком справа
Актер	Абсолютно здоров	Душа компании	Стрельба из лука	Рос в семье фермеров	Огнемёт	Арахнофобия – боязнь пауков	Перераздать у всех игроков, включая себя, карточки «Профессия»
Спецназовец	Абсолютно здоров	Аскет	Кулинария	Рос в семье геологов	Справочник грибника	Астрофобия – боязнь звезд и звездного пространства	Лечит от бесплодия
Военный	Абсолютно здоров	Агрессивный	Бальные танцы	Подрабатывал в больнице	Капкан	Аутофобия – боязнь одиночества	Перераздать у всех игроков, включая себя, карточки «Состояние здоровья»
Военный летчик	Абсолютно здоров	Альтруист	Строительство	Имеет экстрасенсорные способности	Аптечка	Блаптофобия – боязнь нанести кому-либо повреждение	Вылечить себя от любого недуга
Биолог	Абсолютно здоров	Болтливый	Сыроварение	Знает 5 языков	Ветеринарная аптечка	Андрофобия – боязнь мужчин	Все игроки меняются карточкой «Профессия» по часовой стрелке
Географ	Абсолютно здоров	Гордый	Пение	Владеет языком жестов	Книга «Таинственный остров»	Бронтофобия – боязнь грома	Вылечит твою фобию
Повар	Абсолютно здоров	Жестокий	Изучение иностранных языков	Остался в живых на необитаемом острове	Книга «Метро 2033»	Верминофобия – боязнь бактерий, микробов, червей	Аннулировать карточки «Профессия» у всех игроков
Продавец	Абсолютно здоров	Жизнерадостный	Пивоварение	Изучал воду и ее очищение	Пара раций	Гаптофобия – боязньприкосновения окружающих людей	Поменять свою карту «Профессия» на новую из колоды
Музыкант	Абсолютно здоров	Ленивый	Редактирование Википедии	По первому образованию биолог	Кальян	Гексакосиойгексеконтагексафобия – боязнь числа 666	Поменять свою карту «Состояние здоровья» на новую из колоды
Иждивенец	Абсолютно здоров	Лицемерный	Пчеловодство	Знает все про компьютеры	Компас	Гоплофобия – боязнь оружия	Поменять свою карту «Фобия» на новую из колоды
Программист	Биполярное расстройство	Наглый	Рыбалка	По первому образованию химик	Хирургический набор	Зоофобия – боязнь животных	Поменять свою карту «Дополнительная информация» на новую из колоды
Хакер	Шизофрения	Пессимист	Садоводство	Знает азбуку Морзе	Семена овощей	Мизофобия – боязнь заразиться инфекционным заболеванием	Рядом с вами бункер, в котором находятся два строителя
Бизнесмен	Рак мозга	Скромный	Охота	Может сделать алкоголь из чего угодно	Ручная крыса	Орнитофобия – боязнь птиц	Рядом с вами бункер и он настроен недоброжелательно
Художник	Генетичсекое заболевание	Толерантный	Бокс	Читал все книги про зомби	Собака	Паразитофобия – боязнь насекомых-паразитов	Бункер находится на территории парка с аттракционами (разрушение парка 20%)
Фермер	Аллергия на птичьи перья	Умный	Восточные единоборства	Умеет ориентироваться по звездам	Чай в пакетиках	Психрофобия – боязнь холода	В 20 метрах от вашего бункера открылся погреб с вином
Учитель истории	Аллергия на шерсть	Циничный	Дрессировка	Знал лично президента	Мыло и веревка	Клаустрофобия – боязнь закрытых пространств	В 30 метрах от вас склад с оружием
Учитель математики	Астма	Чучело гороховое	Альпинизм	Выиграл миллион – вечный везунчик	Дневник выживания		Рядом с вами бункер, где находятся два медицинских сотрудника
Учитель химии	ВИЧ	Эгоист	Верховая езда	Объездил весь мир	Гречка и туалетная бумага		Рядом с вами бункер, в котором одни женщины (здоровые, до 30 лет)
Учитель по ОБЖ	Гепатит	Упрямый	Создание музыкальных ремиксов	Проходил курсы психолога	Респиратор		Рядом с вами бункер, в котором одни мужчины (здоровые, до 30 лет)
Сексолог	Мигрень	Чудак	Предпринимательство	Знает, где склад оружия	Горилка		Рядом с вами бункер, где находятся два химика
Практолог	Меланома	Храбрый	Рукоделие из кожи	5 раз читал Гарри Поттера	Антисептик		Данная карта дает тебе возможность открыть любую карту у любого игрока
Психолог	Наркомания	Спокойный		Верит в инопланетян	Фаллоиммитатор		Данная карта дает тебе возможность открыть карту «Состояние здоровья» у любого игрока на выбор
Нарколог	Ожирение	Педантичный		Знает все стихи Пушкина наизусть			Чтобы одержать победу, тебе нужно попасть в бункер с игроком справа от тебя
Экстрасенс	Плоскостопие	Мудрый		Подрабатывает в театре			Человек слева от тебя - враг, если он останется в игре, ты проиграешь, даже попав в бункер
Строитель	Сахарный диабет	Банальный		Верит в экстрасенсов			В 30 метрах от вас склад с оружием
Учитель физики	Туберкулез	Вялый		Мастер спорта по боксу			Количество мест в бункере больше на 1
Физик-теоретик	Депрессия			Архитектор по первому образованию			Количество мест в бункере меньше на 1
Инженер	Аутизм			Состоит в клубе «Навыки выживания» 3 года			У тебя есть защита на один игровой круг, если против твоего персонажа максимальное количество голосов
Политик	Расстройство пищевого поведения			Гомосексуален			У тебя есть защита на один игровой круг другого игрока, ты не можешь защитить себя
Рэпер	Рак легких						Данная карта дает тебе возможность самому выбирать, кто покинет игровой круг без голосования
	Синдром Мюнхгаузена						Данная карта дает тебе возможность возвратить любого выбывшего игрока в игру
	Посттравматическое стрессовое расстройство						Данная карта дает возможность аннулировать один голос против тебя
	Коронавирус						Данная карта дает возможность добавить один голос на голосовании, теперь у тебя их два (1 раз)
							Данная карта дает тебе возможность забрать голос другого игрока
